Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish
Fishes,Gobiidae,Acanthogobius flavimanus,,Yellowfin Goby,Exotic,Marine
Fishes,Acipenseridae,Acipenser transmontanus,,White Sturgeon,Native,Freshwater
Fishes,Albulidae,Albula vulpes,,Bonefish,Native,Marine
Fishes,Clupeidae,Alosa sapidissima,,American Shad,Native,Freshwater-Marine
Fishes,Centrarchidae,Ambloplites rupestris,,Rock Bass,Native,Freshwater
Fishes,Ictaluridae,Ameiurus catus,,White Catfish,Native,Freshwater
Fishes,Ictaluridae,Ameiurus melas,,Black Bullhead,Native,Freshwater
Fishes,Ictaluridae,Ameiurus natalis,,Yellow Bullhead,Native,Freshwater
Fishes,Ictaluridae,Ameiurus nebulosus,,Brown Bullhead,Native,Freshwater
Fishes,Engraulidae,Anchoa mundeoloides,,Northern Gulf Anchovy,Exotic,Marine
Fishes,Anguillidae,Anguilla anguilla,,European eel,Exotic,Freshwater-Marine
Fishes,Anguillidae,Anguilla australis,,shortfin eel,Exotic,Marine
Fishes,Anguillidae,Anguilla rostrata,,American Eel,Native,Freshwater-Marine
Fishes,Anguillidae,Anguilla sp.,,unidentified eel,Exotic,Freshwater-Marine
Fishes,Haemulidae,Anisotremus davidsonii,,Sargo,Native,Marine
Fishes,Cichlidae,Archocentrus nigrofasciatus,,Convict Cichlid,Exotic,Freshwater
Fishes,Centrarchidae,Archoplites interruptus,,Sacramento Perch,Native,Freshwater
Fishes,Cichlidae,Astronotus ocellatus,,Oscar,Exotic,Freshwater
Fishes,Characidae,Astyanax mexicanus,,Mexican Tetra,Native,Freshwater
Fishes,Lepisosteidae,Atractosteus spatula,,Alligator Gar,Native,Freshwater
Fishes,Aplocheilidae,Austrolebias bellottii,,Argentine pearlfish,Exotic,Freshwater
Fishes,Aplocheilidae,Austrolebias nigripinnis,,blackfin pearlfish,Exotic,Freshwater
Fishes,Sciaenidae,Bairdiella icistia,,Bairdiella,Exotic,Marine
Fishes,Carangidae,Caranx caballus,,Green Jack,Exotic,Marine
Fishes,Cyprinidae,Carassius auratus,,Goldfish,Exotic,Freshwater
Fishes,Cyprinidae,Carassius langsdorfii,,Ginbuna,Exotic,Freshwater
Fishes,Catostomidae,Catostomus commersonii,,White Sucker,Native,Freshwater
Fishes,Catostomidae,Catostomus fumeiventris,,Owens Sucker,Native,Freshwater
Fishes,Catostomidae,Catostomus occidentalis,,Sacramento Sucker,Native,Freshwater
