Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish
Fishes,Pomacentridae,Acanthochromis polyacanthus,,spiny chromis damselfish,Exotic,Marine
Fishes,Acanthuridae,Acanthurus guttatus,,whitespotted surgeonfish,Exotic,Marine
Fishes,Acanthuridae,Acanthurus pyroferus,,chocolate surgeonfish,Exotic,Marine
Fishes,Acanthuridae,Acanthurus sohal,,Red Sea surgeonfish,Exotic,Marine
Fishes,Cichlidae,Aequidens pulcher,,blue acara,Exotic,Freshwater
Fishes,Clupeidae,Alosa aestivalis,,Blueback Herring,Native,Freshwater-Marine
Fishes,Clupeidae,Alosa chrysochloris,,Skipjack Herring,Native,Freshwater-Marine
Fishes,Clupeidae,Alosa sapidissima,,American Shad,Native,Freshwater-Marine
Fishes,Centrarchidae,Ambloplites rupestris,,Rock Bass,Native,Freshwater
Fishes,Ictaluridae,Ameiurus catus,,White Catfish,Native,Freshwater
Fishes,Ictaluridae,Ameiurus melas,,Black Bullhead,Native,Freshwater
Fishes,Percidae,Ammocrypta bifascia,,Florida Sand Darter,Native,Freshwater
Fishes,Cichlidae,Amphilophus citrinellus,,Midas Cichlid,Exotic,Freshwater
Fishes,Cichlidae,Amphilophus citrinellus x Cichlasoma urophthalmus,,Midas x Mayan cichlid hybrid,Exotic Hybrid,Freshwater
Fishes,Pomacentridae,Amphiprion ocellaris,,clown anemonefish,Exotic,Marine
Fishes,Anabantidae,Anabas testudineus,,climbing perch,Exotic,Freshwater
Fishes,Loricariidae,Ancistrus sp.,,bristlenosed catfish,Exotic,Freshwater
Fishes,Characidae,Aphyocharax anisitsi,,bloodfin tetra,Exotic,Freshwater
Fishes,Cichlidae,Archocentrus nigrofasciatus,,Convict Cichlid,Exotic,Freshwater
Fishes,Tetraodontidae,Arothron diadematus,,masked pufferfish,Exotic,Marine
Fishes,Cichlidae,Astatotilapia calliptera,,eastern happy,Exotic,Freshwater
Fishes,Cichlidae,Astronotus ocellatus,,Oscar,Exotic,Freshwater
Fishes,Lepisosteidae,Atractosteus spatula,,Alligator Gar,Native,Freshwater
Fishes,Balistidae,Balistoides conspicillum,,clown triggerfish,Exotic,Marine
Fishes,Cyprinidae,Barbonymus gonionotus,,Java Barb,Exotic,Freshwater
Fishes,Cyprinidae,Barbonymus schwanenfeldii,,tinfoil barb,Exotic,Freshwater
Fishes,Poeciliidae,Belonesox belizanus,,Pike Killifish,Exotic,Freshwater
Fishes,Osphronemidae,Betta splendens,,Siamese fighting fish,Exotic,Freshwater
Fishes,Callichthyidae,Callichthys callichthys,,cascarudo,Exotic,Freshwater
Fishes,Cyprinidae,Carassius auratus,,Goldfish,Exotic,Freshwater
Fishes,Catostomidae,Carpiodes carpio,,River Carpsucker,Native,Freshwater
Fishes,Serranidae,Cephalopholis argus,,peacock hind,Exotic,Marine
Fishes,Chaetodontidae,Chaetodon lunula,,raccoon butterflyfish,Native,Marine
Fishes,Channidae,Channa argus,,Northern Snakehead,Exotic,Freshwater
Fishes,Channidae,Channa marulius,,Bullseye Snakehead,Exotic,Freshwater
Fishes,Hemiscylliidae,Chiloscyllium punctatum,,brownbanded bambooshark,Exotic,Marine
Fishes,Notopteridae,Chitala ornata,,Clown Knifefish,Exotic,Freshwater
Fishes,Serranidae,Chromileptes altivelis,,panther grouper,Exotic,Marine
Fishes,Cichlidae,Cichla ocellaris,,Butterfly Peacock Bass,Exotic,Freshwater
Fishes,Cichlidae,Cichla temensis,,speckled pavon,Exotic,Freshwater
Fishes,Cichlidae,Cichlasoma bimaculatum,,Black Acara,Exotic,Freshwater
Fishes,Cichlidae,Cichlasoma salvini,,Yellowbelly Cichlid,Exotic,Freshwater
Fishes,Cichlidae,Cichlasoma trimaculatum,,Threespot Cichlid,Exotic,Freshwater
Fishes,Cichlidae,Cichlasoma urophthalmus,,Mayan Cichlid,Exotic,Freshwater
Fishes,Clariidae,Clarias batrachus,,Walking Catfish,Exotic,Freshwater
Fishes,Osphronemidae,Colisa lalia,,dwarf gourami,Exotic,Freshwater
Fishes,Characidae,Colossoma macropomum,,tambaqui,Exotic,Freshwater
Fishes,Characidae,Colossoma or Piaractus sp.,,unidentified pacu,Exotic,Freshwater
Fishes,Callichthyidae,Corydoras sp.,,corydoras,Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,,Grass Carp,Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,diploid,Grass Carp (diploid),Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,triploid,Grass Carp (triploid),Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon x Hypophthalmichthys idella x nobilis,,grass carp x bighead carp,Exotic Hybrid,Freshwater
Fishes,Anabantidae,Ctenopoma nigropannosum,,twospot climbing perch,Exotic,Freshwater
Fishes,Cyprinidae,Cyprinus carpio,,Common Carp,Exotic,Freshwater
Fishes,Cyprinidae,Danio rerio,,zebra danio,Exotic,Freshwater
Fishes,Pomacentridae,Dascyllus aruanus,,whitetail damselfish,Exotic,Marine
Fishes,Pomacentridae,Dascyllus trimaculatus,,three spot damselfish,Exotic,Marine
Fishes,Cyprinidae,Devario malabaricus,,Malabar danio,Exotic,Freshwater
Fishes,Clupeidae,Dorosoma cepedianum,,Gizzard Shad,Native,Freshwater-Marine
Fishes,Clupeidae,Dorosoma petenense,,Threadfin Shad,Native,Freshwater-Marine
Fishes,Serranidae,Epinephelus ongus,,Summan grouper,Exotic,Marine-Brackish
Fishes,Esocidae,Esox niger,,Chain Pickerel,Native,Freshwater
Fishes,Percidae,Etheostoma edwini,,Brown Darter,Native,Freshwater
Fishes,Loricariidae,Farlowella vittata,,twig catfish,Exotic,Freshwater
Fishes,Fundulidae,Fundulus lineolatus,,Lined Topminnow,Native,Freshwater
Fishes,Fundulidae,Fundulus seminolis,,Seminole Killifish,Native,Freshwater
Fishes,Poeciliidae,Gambusia affinis,,Western Mosquitofish,Native,Freshwater
Fishes,Cichlidae,Geophagus sp.,,eartheater,Exotic,Freshwater
Fishes,Loricariidae,Glyptoperichthys gibbiceps,,leopard pleco,Exotic,Freshwater
Fishes,Grammatidae,Gramma loreto,,Fairy Basslet,Exotic,Marine
Fishes,Characidae,Gymnocorymbus ternetzi,,black tetra,Exotic,Freshwater
Fishes,Helostomatidae,Helostoma temminkii,,kissing gourami,Exotic,Freshwater
Fishes,Cichlidae,Hemichromis letourneuxi,,African Jewelfish,Exotic,Freshwater-Brackish
Fishes,Chaetodontidae,Heniochus acuminatus,,featherfin bullfish,Exotic,Marine
Fishes,Chaetodontidae,Heniochus diphreutes,,schooling bannerfish,Exotic,Marine
Fishes,Chaetodontidae,Heniochus intermedius,,Red Sea bannerfish,Exotic,Marine
Fishes,Chaetodontidae,Heniochus sp.,,bannerfish,Exotic,Marine
Fishes,Cichlidae,Herichthys carpintis,,Lowland Cichlid,Exotic,Freshwater
Fishes,Cichlidae,Herichthys cyanoguttatus,,Rio Grande Cichlid,Native,Freshwater
Fishes,Cichlidae,Heros severus,,Banded Cichlid,Exotic,Freshwater
Fishes,Erythrinidae,Hoplias malabaricus,,trahira,Exotic,Freshwater
Fishes,Callichthyidae,Hoplosternum littorale,,Brown Hoplo,Exotic,Freshwater
Fishes,Cyprinidae,Hybopsis cf. winchelli,,clear chub,Native,Freshwater
Fishes,Characidae,Hyphessobrycon eques,,serpae tetra,Exotic,Freshwater
Fishes,Cyprinidae,Hypophthalmichthys nobilis,,Bighead Carp,Exotic,Freshwater
Fishes,Loricariidae,Hypostomus plecostomus,,Suckermouth Catfish,Exotic,Freshwater
Fishes,Loricariidae,Hypostomus sp.,,suckermouth catfish,Exotic,Freshwater
Fishes,Blenniidae,Hypsoblennius invemar,,Tessellated Blenny,Unknown,Marine
Fishes,Ictaluridae,Ictalurus furcatus,,Blue Catfish,Native,Freshwater
Fishes,Cyprinidae,Labeo chrysophekadion,,black sharkminnow, black labeo,Exotic,Freshwater
Fishes,Cichlidae,Labeotropheus fuelleborni,,blue mbuna,Exotic,Freshwater
Fishes,Pimelodidae,Leiarius marmoratus,,Marbled Pim,Exotic,Freshwater
Fishes,Lepisosteidae,Lepisosteus oculatus,,Spotted Gar,Native,Freshwater
Fishes,Centrarchidae,Lepomis auritus,,Redbreast Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis cyanellus,,Green Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis gulosus,,Warmouth,Native,Freshwater
Fishes,Centrarchidae,Lepomis humilis,,Orangespotted Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis megalotis,,Longear Sunfish,Native,Freshwater
Fishes,Anostomidae,Leporinus fasciatus,,banded leporinus,Exotic,Freshwater
Fishes,Cyprinidae,Leuciscus idus,,Ide,Exotic,Freshwater
Fishes,Cyprinidae,Luxilus chrysocephalus isolepis,,Striped Shiner,Native,Freshwater
Fishes,Mastacembelidae,Macrognathus siamensis,,Spotfin Spiny Eel,Exotic,Freshwater
Fishes,Osphronemidae,Macropodus opercularis,,paradise fish,Exotic,Freshwater
Fishes,Cichlidae,Melanochromis auratus,,golden mbuna,Exotic,Freshwater
Fishes,Characidae,Metynnis sp.,,metynnis,Exotic,Freshwater
Fishes,Centrarchidae,Micropterus coosae,,Redeye Bass (sensu lato),Native,Freshwater
Fishes,Centrarchidae,Micropterus notius,,Suwanee Bass,Native,Freshwater
Fishes,Centrarchidae,Micropterus punctulatus,,Spotted Bass,Native,Freshwater
Fishes,Cobitidae,Misgurnus anguillicaudatus,,Oriental Weatherfish,Exotic,Freshwater
Fishes,Characidae,Moenkhausia sanctaefilomenae,,redeye tetra,Exotic,Freshwater
Fishes,Monodactylidae,Monodactylus sebae,,African moony,Exotic,Freshwater
Fishes,Synbranchidae,Monopterus albus,,Asian Swamp Eel,Exotic,Freshwater
Fishes,Synbranchidae,Monopterus sp.,,jowled swamp eels,Exotic,Freshwater
Fishes,Moronidae,Morone chrysops,,White Bass,Native,Freshwater-Marine
Fishes,Moronidae,Morone chrysops x M. saxatilis,,wiper,Native Hybrid,Freshwater-Marine
Fishes,Moronidae,Morone saxatilis,,Striped Bass,Native,Freshwater-Marine
Fishes,Catostomidae,Moxostoma lachneri,,Greater Jumprock,Native,Freshwater
Fishes,Acanthuridae,Naso lituratus,,orangespine unicornfish,Exotic,Marine
Fishes,Pomacentridae,Neopomacentrus cyanomos,,regal demoiselle,Exotic,Marine
Fishes,Cyprinidae,Nocomis leptocephalus bellicus,,Bluehead Chub,Native,Freshwater
Fishes,Cyprinidae,Notemigonus crysoleucas,,Golden Shiner,Native,Freshwater
Fishes,Cyprinidae,Notropis baileyi,,Rough Shiner,Native,Freshwater
Fishes,Cyprinidae,Notropis harperi,,Redeye Chub,Native,Freshwater
Fishes,Salmonidae,Oncorhynchus mykiss,,Rainbow Trout,Native,Freshwater-Marine
Fishes,Cichlidae,Oreochromis aureus,,Blue Tilapia,Exotic,Freshwater
Fishes,Cichlidae,Oreochromis mossambicus,,Mozambique Tilapia,Exotic,Freshwater-Brackish
