Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish
Fishes,Acipenseridae,Acipenser transmontanus,,White Sturgeon,Native,Freshwater
Fishes,Clupeidae,Alosa sapidissima,,American Shad,Native,Freshwater-Marine
Fishes,Centrarchidae,Ambloplites rupestris,,Rock Bass,Native,Freshwater
Fishes,Ictaluridae,Ameiurus melas,,Black Bullhead,Native,Freshwater
Fishes,Ictaluridae,Ameiurus natalis,,Yellow Bullhead,Native,Freshwater
Fishes,Ictaluridae,Ameiurus nebulosus,,Brown Bullhead,Native,Freshwater
Fishes,Ictaluridae,Ameiurus sp.,,bullhead catfish,Native,Freshwater
Fishes,Cichlidae,Archocentrus nigrofasciatus,,Convict Cichlid,Exotic,Freshwater
Fishes,Cyprinidae,Carassius auratus,,Goldfish,Exotic,Freshwater
Fishes,Catostomidae,Catostomus commersonii,,White Sucker,Native,Freshwater
Fishes,Salmonidae,Coregonus clupeaformis,,Lake Whitefish,Native,Freshwater
Fishes,Salmonidae,Coregonus sp.,,a whitefish,Native,Freshwater
Fishes,Cottidae,Cottus greenei,,Shoshone Sculpin,Native,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,,Grass Carp,Exotic,Freshwater
Fishes,Cyprinidae,Cyprinella lutrensis,,Red Shiner,Native,Freshwater
Fishes,Cyprinidae,Cyprinus carpio,,Common Carp,Exotic,Freshwater
Fishes,Esocidae,Esox lucius,,Northern Pike,Native,Freshwater
Fishes,Esocidae,Esox lucius x E. masquinongy,,tiger muskellunge,Native Hybrid,Freshwater
Fishes,Fundulidae,Fundulus diaphanus,,Banded Killifish,Native,Freshwater
Fishes,Poeciliidae,Gambusia affinis,,Western Mosquitofish,Native,Freshwater
Fishes,Cyprinidae,Gila atraria,,Utah Chub,Native,Freshwater
Fishes,Ictaluridae,Ictalurus furcatus,,Blue Catfish,Native,Freshwater
Fishes,Ictaluridae,Ictalurus punctatus,,Channel Catfish,Native,Freshwater
Fishes,Cyprinidae,Lepidomeda copei,,Northern Leatherside Chub,Native,Freshwater
Fishes,Centrarchidae,Lepomis cyanellus,,Green Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis gibbosus,,Pumpkinseed,Native,Freshwater
Fishes,Centrarchidae,Lepomis gulosus,,Warmouth,Native,Freshwater
Fishes,Centrarchidae,Lepomis humilis,,Orangespotted Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis macrochirus,,Bluegill,Native,Freshwater
Fishes,Gadidae,Lota lota,,Burbot,Native,Freshwater
Fishes,Centrarchidae,Micropterus dolomieu,,Smallmouth Bass,Native,Freshwater
Fishes,Centrarchidae,Micropterus salmoides,,Largemouth Bass,Native,Freshwater
Fishes,Cobitidae,Misgurnus anguillicaudatus,,Oriental Weatherfish,Exotic,Freshwater
Fishes,Cyprinidae,Notemigonus crysoleucas,,Golden Shiner,Native,Freshwater
Fishes,Cyprinidae,Notropis hudsonius,,Spottail Shiner,Native,Freshwater
Fishes,Ictaluridae,Noturus gyrinus,,Tadpole Madtom,Native,Freshwater
Fishes,Salmonidae,Oncorhynchus aguabonita,,Golden Trout,Native,Freshwater
Fishes,Salmonidae,Oncorhynchus clarkii,,Cutthroat Trout,Native,Freshwater
Fishes,Salmonidae,Oncorhynchus clarkii behnkei,,Snake River Finespotted Cutthroat Trout,Native,Freshwater
Fishes,Salmonidae,Oncorhynchus clarkii henshawi,,Lahontan cutthroat trout,Native,Freshwater
Fishes,Salmonidae,Oncorhynchus clarkii lewisi,,Westslope Cutthroat Trout,Native,Freshwater
Fishes,Salmonidae,Oncorhynchus clarkii utah,,Bonneville cutthroat trout,Native,Freshwater
