Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish,
Fishes,Clupeidae,Alosa pseudoharengus,,Alewife,Native,Freshwater-Marine,
Fishes,Clupeidae,Alosa sapidissima,,American Shad,Native,Freshwater-Marine,
Fishes,Centrarchidae,Ambloplites rupestris,,Rock Bass,Native,Freshwater,
Fishes,Ictaluridae,Ameiurus catus,,White Catfish,Native,Freshwater,
Fishes,Cichlidae,Astronotus ocellatus,,Oscar,Exotic,Freshwater,
Fishes,Cyprinidae,Balantiocheilos melanopterus,,tricolor sharkminnow,Exotic,Freshwater,
Fishes,Cyprinidae,Barbonymus schwanenfeldii,,tinfoil barb,Exotic,Freshwater,
Fishes,Cyprinidae,Carassius auratus,,Goldfish,Exotic,Freshwater,
Fishes,Catostomidae,Carpiodes carpio,,River Carpsucker,Native,Freshwater,
Fishes,Characidae,Colossoma or Piaractus sp.,,unidentified pacu,Exotic,Freshwater,
Fishes,Salmonidae,Coregonus clupeaformis,,Lake Whitefish,Native,Freshwater,
Fishes,Cyprinidae,Ctenopharyngodon idella,,Grass Carp,Exotic,Freshwater,
Fishes,Cyprinidae,Ctenopharyngodon idella,diploid,Grass Carp (diploid),Exotic,Freshwater,
Fishes,Cyprinidae,Ctenopharyngodon idella,triploid,Grass Carp (triploid),Exotic,Freshwater,
Fishes,Cyprinidae,Cyprinella lutrensis,,Red Shiner,Native,Freshwater,
Fishes,Cyprinidae,Cyprinus carpio,,Common Carp,Exotic,Freshwater,
Fishes,Clupeidae,Dorosoma cepedianum,,Gizzard Shad,Native,Freshwater-Marine,
Fishes,Clupeidae,Dorosoma petenense,,Threadfin Shad,Native,Freshwater-Marine,
Fishes,Esocidae,Esox lucius x E. masquinongy,,tiger muskellunge,Native Hybrid,Freshwater,
Fishes,Esocidae,Esox niger,,Chain Pickerel,Native,Freshwater,
Fishes,Poeciliidae,Gambusia affinis,,Western Mosquitofish,Native,Freshwater,
Fishes,Gasterosteidae,Gasterosteus aculeatus,,Threespine Stickleback,Native,Marine,
Fishes,Hiodontidae,Hiodon tergisus,,Mooneye,Native,Freshwater,
Fishes,Cyprinidae,Hypophthalmichthys molitrix,,Silver Carp,Exotic,Freshwater,
Fishes,Cyprinidae,Hypophthalmichthys molitrix x nobilis,,hybrid silver/bighead carp,Exotic Hybrid,Freshwater,
Fishes,Cyprinidae,Hypophthalmichthys nobilis,,Bighead Carp,Exotic,Freshwater,
Fishes,Catostomidae,Ictiobus cyprinellus,,Bigmouth Buffalo,Native,Freshwater,
Fishes,Lepisosteidae,Lepisosteus oculatus,,Spotted Gar,Native,Freshwater,
Fishes,Centrarchidae,Lepomis gibbosus,,Pumpkinseed,Native,Freshwater,
Fishes,Centrarchidae,Lepomis humilis,,Orangespotted Sunfish,Native,Freshwater,
Fishes,Centrarchidae,Lepomis microlophus,,Redear Sunfish,Native,Freshwater,
Fishes,Cyprinidae,Leuciscus idus,,Ide,Exotic,Freshwater,
Fishes,Gadidae,Lota lota,,Burbot,Native,Freshwater,
Fishes,Atherinopsidae,Menidia beryllina,,Inland Silverside,Native,Freshwater-Marine,
Fishes,Cobitidae,Misgurnus anguillicaudatus,,Oriental Weatherfish,Exotic,Freshwater,
Fishes,Moronidae,Morone americana,,White Perch,Native,Freshwater,
Fishes,Moronidae,Morone chrysops,,White Bass,Native,Freshwater-Marine,
Fishes,Moronidae,Morone chrysops x M. saxatilis,,wiper,Native Hybrid,Freshwater-Marine,
Fishes,Moronidae,Morone saxatilis,,Striped Bass,Native,Freshwater-Marine,
Fishes,Mugilidae,Mugil cephalus,,Striped Mullet,Native,Marine,
Fishes,Gobiidae,Neogobius melanostomus,,Round Goby,Exotic,Freshwater,
Fishes,Salmonidae,Oncorhynchus gorbuscha,,Pink Salmon,Native,Freshwater-Marine,
Fishes,Salmonidae,Oncorhynchus kisutch,,Coho Salmon,Native,Freshwater-Marine,
Fishes,Salmonidae,Oncorhynchus mykiss,,Rainbow Trout,Native,Freshwater-Marine,
Fishes,Salmonidae,Oncorhynchus mykiss irideus,,coastal rainbow trout,Native,Freshwater-Marine,
Fishes,Salmonidae,Oncorhynchus tshawytscha,,Chinook Salmon,Native,Freshwater-Marine,
Fishes,Osmeridae,Osmerus mordax,,Rainbow Smelt,Native,Freshwater-Marine,
Fishes,Osteoglossidae,Osteoglossum bicirrhosum,,Silver Arowana,Exotic,Freshwater,
Fishes,Percidae,Perca flavescens,,Yellow Perch,Native,Freshwater,
Fishes,Petromyzontidae,Petromyzon marinus,,Sea Lamprey,Native,Freshwater-Marine,
Fishes,Pimelodidae,Phractocephalus hemioliopterus,,redtail catfish,Exotic,Freshwater,
Fishes,Characidae,Piaractus brachypomus,,pirapatinga, red-bellied pacu,Exotic,Freshwater
Fishes,Poeciliidae,Poecilia latipinna x velifera,,black molly,Exotic Hybrid,Freshwater,
Fishes,Gasterosteidae,Pungitius pungitius,,Ninespine Stickleback,Native,Freshwater,
Fishes,Characidae,Pygocentrus or Serrasalmus sp.,,unidentified piranha,Exotic,Freshwater,
Fishes,Ictaluridae,Pylodictis olivaris,,Flathead Catfish,Native,Freshwater,
Fishes,Salmonidae,Salmo salar,,Atlantic Salmon,Native,Freshwater-Marine,
Fishes,Salmonidae,Salmo salar sebago,,Atlantic Salmon,Native,Freshwater-Marine,
Fishes,Salmonidae,Salmo trutta,,Brown Trout,Exotic,Freshwater,
Fishes,Salmonidae,Salvelinus fontinalis,,Brook Trout,Native,Freshwater,
Fishes,Salmonidae,Salvelinus namaycush,,Lake Trout,Native,Freshwater,
Fishes,Percidae,Sander canadensis,,Sauger,Native,Freshwater,
Fishes,Percidae,Sander canadensis x vitreus,,Saugeye,Native Hybrid,Freshwater,
Fishes,Percidae,Sander vitreus,,Walleye,Native,Freshwater,
Fishes,Cyprinidae,Scardinius erythrophthalmus,,Rudd,Exotic,Freshwater,
Fishes,Cyprinidae,Tinca tinca,,Tench,Exotic,Freshwater,
Fishes,Umbridae,Umbra limi,,Central Mudminnow,Native,Freshwater,
