Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish
Fishes,Clupeidae,Alosa chrysochloris,,Skipjack Herring,Native,Freshwater-Marine
Fishes,Clupeidae,Alosa pseudoharengus,,Alewife,Native,Freshwater-Marine
Fishes,Ictaluridae,Ameiurus catus,,White Catfish,Native,Freshwater
Fishes,Ictaluridae,Ameiurus nebulosus,,Brown Bullhead,Native,Freshwater
Fishes,Amiidae,Amia calva,,Bowfin,Native,Freshwater
Fishes,Cyprinidae,Carassius auratus,,Goldfish,Exotic,Freshwater
Fishes,Cyprinidae,Clinostomus elongatus,,Redside Dace,Native,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,,Grass Carp,Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,diploid,Grass Carp (diploid),Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,triploid,Grass Carp (triploid),Exotic,Freshwater
Fishes,Gasterosteidae,Culaea inconstans,,Brook Stickleback,Native,Freshwater
Fishes,Cyprinidae,Cyprinella galactura,,Whitetail Shiner,Native,Freshwater
Fishes,Cyprinidae,Cyprinus carpio,,Common Carp,Exotic,Freshwater
Fishes,Clupeidae,Dorosoma cepedianum,,Gizzard Shad,Native,Freshwater-Marine
Fishes,Clupeidae,Dorosoma petenense,,Threadfin Shad,Native,Freshwater-Marine
Fishes,Esocidae,Esox lucius,,Northern Pike,Native,Freshwater
Fishes,Esocidae,Esox lucius x E. masquinongy,,tiger muskellunge,Native Hybrid,Freshwater
Fishes,Esocidae,Esox masquinongy,,Muskellunge,Native,Freshwater
Fishes,Esocidae,Esox niger,,Chain Pickerel,Native,Freshwater
Fishes,Fundulidae,Fundulus catenatus,,Northern Studfish,Native,Freshwater
Fishes,Poeciliidae,Gambusia affinis,,Western Mosquitofish,Native,Freshwater
Fishes,Poeciliidae,Gambusia holbrooki,,Eastern Mosquitofish,Native,Freshwater
Fishes,Catostomidae,Hypentelium etowanum,,Alabama Hog Sucker,Native,Freshwater
Fishes,Cyprinidae,Hypophthalmichthys molitrix,,Silver Carp,Exotic,Freshwater
Fishes,Cyprinidae,Hypophthalmichthys molitrix x nobilis,,hybrid silver/bighead carp,Exotic Hybrid,Freshwater
Fishes,Cyprinidae,Hypophthalmichthys nobilis,,Bighead Carp,Exotic,Freshwater
Fishes,Ictaluridae,Ictalurus furcatus,,Blue Catfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis auritus,,Redbreast Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis gibbosus,,Pumpkinseed,Native,Freshwater
Fishes,Centrarchidae,Lepomis gulosus,,Warmouth,Native,Freshwater
