Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish
Fishes,Clupeidae,Alosa pseudoharengus,,Alewife,Native,Freshwater-Marine
Fishes,Clupeidae,Alosa sapidissima,,American Shad,Native,Freshwater-Marine
Fishes,Centrarchidae,Ambloplites rupestris,,Rock Bass,Native,Freshwater
Fishes,Percidae,Ammocrypta clara,,Western Sand Darter,Native,Freshwater
Fishes,Anguillidae,Anguilla rostrata,,American Eel,Native,Freshwater-Marine
Fishes,Cyprinidae,Carassius auratus,,Goldfish,Exotic,Freshwater
Fishes,Cyprinidae,Clinostomus elongatus,,Redside Dace,Native,Freshwater
Fishes,Salmonidae,Coregonus maraena,,Maraena whitefish,Exotic,Freshwater
Fishes,Cyprinidae,Couesius plumbeus,,Lake Chub,Native,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,,Grass Carp,Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,diploid,Grass Carp (diploid),Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,triploid,Grass Carp (triploid),Exotic,Freshwater
Fishes,Cyprinidae,Cyprinella whipplei,,Steelcolor Shiner,Native,Freshwater
Fishes,Cyprinidae,Cyprinus carpio,,Common Carp,Exotic,Freshwater
Fishes,Clupeidae,Dorosoma cepedianum,,Gizzard Shad,Native,Freshwater-Marine
Fishes,Esocidae,Esox lucius x E. masquinongy,,tiger muskellunge,Native Hybrid,Freshwater
Fishes,Esocidae,Esox masquinongy,,Muskellunge,Native,Freshwater
Fishes,Esocidae,Esox niger,,Chain Pickerel,Native,Freshwater
Fishes,Fundulidae,Fundulus heteroclitus,,Mummichog,Native,Freshwater
Fishes,Poeciliidae,Gambusia affinis,,Western Mosquitofish,Native,Freshwater
Fishes,Gasterosteidae,Gasterosteus aculeatus,,Threespine Stickleback,Native,Marine
Fishes,Percidae,Gymnocephalus cernua,,Ruffe,Exotic,Freshwater
Fishes,Catostomidae,Ictiobus cyprinellus,,Bigmouth Buffalo,Native,Freshwater
Fishes,Atherinopsidae,Labidesthes sicculus,,Brook Silverside,Native,Freshwater
Fishes,Lepisosteidae,Lepisosteus oculatus,,Spotted Gar,Native,Freshwater
Fishes,Lepisosteidae,Lepisosteus platostomus,,Shortnose Gar,Native,Freshwater
Fishes,Centrarchidae,Lepomis cyanellus,,Green Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis gulosus,,Warmouth,Native,Freshwater
Fishes,Centrarchidae,Lepomis humilis,,Orangespotted Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis macrochirus,,Bluegill,Native,Freshwater
Fishes,Centrarchidae,Lepomis megalotis,,Longear Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis microlophus,,Redear Sunfish,Native,Freshwater
Fishes,Cobitidae,Misgurnus anguillicaudatus,,Oriental Weatherfish,Exotic,Freshwater
Fishes,Synbranchidae,Monopterus sp.,,jowled swamp eels,Exotic,Freshwater
Fishes,Moronidae,Morone americana,,White Perch,Native,Freshwater
Fishes,Moronidae,Morone chrysops,,White Bass,Native,Freshwater-Marine
Fishes,Moronidae,Morone chrysops x M. americana,,white bass x white perch,Native Hybrid,Freshwater
Fishes,Moronidae,Morone chrysops x M. saxatilis,,wiper,Native Hybrid,Freshwater-Marine
Fishes,Gobiidae,Neogobius melanostomus,,Round Goby,Exotic,Freshwater
Fishes,Cyprinidae,Notemigonus crysoleucas,,Golden Shiner,Native,Freshwater
Fishes,Cyprinidae,Notropis atherinoides,,Emerald Shiner,Native,Freshwater
Fishes,Cyprinidae,Notropis buchanani,,Ghost Shiner,Native,Freshwater
Fishes,Ictaluridae,Noturus insignis,,Margined Madtom,Native,Freshwater
Fishes,Salmonidae,Oncorhynchus aguabonita whitei,,Little Kern golden trout,Native,Freshwater
Fishes,Salmonidae,Oncorhynchus clarkii,,Cutthroat Trout,Native,Freshwater
Fishes,Salmonidae,Oncorhynchus clarkii lewisi,,Westslope Cutthroat Trout,Native,Freshwater
Fishes,Salmonidae,Oncorhynchus gorbuscha,,Pink Salmon,Native,Freshwater-Marine
Fishes,Salmonidae,Oncorhynchus keta,,Chum Salmon,Native,Freshwater-Marine
Fishes,Salmonidae,Oncorhynchus kisutch,,Coho Salmon,Native,Freshwater-Marine
Fishes,Salmonidae,Oncorhynchus masou,,cherry salmon,Exotic,Freshwater
Fishes,Salmonidae,Oncorhynchus mykiss,,Rainbow Trout,Native,Freshwater-Marine
Fishes,Salmonidae,Oncorhynchus nerka,,Sockeye Salmon,Native,Freshwater-Marine
Fishes,Salmonidae,Oncorhynchus tshawytscha,,Chinook Salmon,Native,Freshwater-Marine
Fishes,Osmeridae,Osmerus mordax,,Rainbow Smelt,Native,Freshwater-Marine
Fishes,Percopsidae,Percopsis omiscomaycus,,Trout-perch,Native,Freshwater
Fishes,Petromyzontidae,Petromyzon marinus,,Sea Lamprey,Native,Freshwater-Marine
Fishes,Cyprinidae,Phenacobius mirabilis,,Suckermouth Minnow,Native,Freshwater
Fishes,Characidae,Piaractus brachypomus,,pirapatinga, red-bellied pacu,Exotic,Freshwater
Fishes,Cyprinidae,Pimephales promelas,,Fathead Minnow,Native,Freshwater
Fishes,Pleuronectidae,Platichthys flesus,,European flounder,Exotic,Marine
Fishes,Centrarchidae,Pomoxis annularis,,White Crappie,Native,Freshwater
Fishes,Salmonidae,Prosopium williamsoni,,Mountain Whitefish,Native,Freshwater
Fishes,Gobiidae,Proterorhinus semilunaris,,Freshwater Tubenose Goby,Exotic,Freshwater-Brackish
Fishes,Characidae,Pygocentrus nattereri,,red piranha,Exotic,Freshwater
Fishes,Ictaluridae,Pylodictis olivaris,,Flathead Catfish,Native,Freshwater
Fishes,Salmonidae,Salmo salar,,Atlantic Salmon,Native,Freshwater-Marine
Fishes,Salmonidae,Salmo salar sebago,,Atlantic Salmon,Native,Freshwater-Marine
Fishes,Salmonidae,Salmo trutta,,Brown Trout,Exotic,Freshwater
Fishes,Salmonidae,Salvelinus alpinus,,Arctic Char,Native,Freshwater-Marine
Fishes,Salmonidae,Salvelinus fontinalis,,Brook Trout,Native,Freshwater
Fishes,Salmonidae,Salvelinus fontinalis x namaycush,,splake,Native Hybrid,Freshwater
Fishes,Salmonidae,Salvelinus namaycush,,Lake Trout,Native,Freshwater
Fishes,Percidae,Sander canadensis x vitreus,,Saugeye,Native Hybrid,Freshwater
Fishes,Salmonidae,Thymallus arcticus,,Arctic Grayling,Native,Freshwater
Fishes,Cichlidae,Tilapia buttikoferi,,zebra tilapia,Exotic,Freshwater
Fishes,Cyprinidae,Tinca tinca,,Tench,Exotic,Freshwater
