Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish
Fishes,Clupeidae,Alosa sapidissima,,American Shad,Native,Freshwater-Marine
Fishes,Centrarchidae,Ambloplites constellatus,,Ozark Bass,Native,Freshwater
Fishes,Centrarchidae,Ambloplites rupestris,,Rock Bass,Native,Freshwater
Fishes,Ictaluridae,Ameiurus catus,,White Catfish,Native,Freshwater
Fishes,Ictaluridae,Ameiurus nebulosus,,Brown Bullhead,Native,Freshwater
Fishes,Amiidae,Amia calva,,Bowfin,Native,Freshwater
Fishes,Cyprinidae,Carassius auratus,,Goldfish,Exotic,Freshwater
Fishes,Cyprinidae,Carassius auratus x Cyprinus carpio,,goldfish x common carp,Exotic Hybrid,Freshwater
Fishes,Notopteridae,Chitala ornata,,Clown Knifefish,Exotic,Freshwater
Fishes,Characidae,Colossoma or Piaractus sp.,,unidentified pacu,Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,,Grass Carp,Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,diploid,Grass Carp (diploid),Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,triploid,Grass Carp (triploid),Exotic,Freshwater
Fishes,Cyprinidae,Cyprinella spiloptera,,Spotfin Shiner,Native,Freshwater
Fishes,Cyprinidae,Cyprinella venusta,,Blacktail Shiner,Native,Freshwater
Fishes,Cyprinidae,Cyprinus carpio,,Common Carp,Exotic,Freshwater
Fishes,Clupeidae,Dorosoma petenense,,Threadfin Shad,Native,Freshwater-Marine
Fishes,Esocidae,Esox lucius,,Northern Pike,Native,Freshwater
Fishes,Esocidae,Esox lucius x E. masquinongy,,tiger muskellunge,Native Hybrid,Freshwater
Fishes,Esocidae,Esox masquinongy,,Muskellunge,Native,Freshwater
Fishes,Esocidae,Esox niger,,Chain Pickerel,Native,Freshwater
Fishes,Percidae,Etheostoma cragini,,Arkansas Darter,Native,Freshwater
Fishes,Fundulidae,Fundulus catenatus,,Northern Studfish,Native,Freshwater
Fishes,Poeciliidae,Gambusia affinis,,Western Mosquitofish,Native,Freshwater
Fishes,Catostomidae,Hypentelium etowanum,,Alabama Hog Sucker,Native,Freshwater
Fishes,Cyprinidae,Hypophthalmichthys molitrix,,Silver Carp,Exotic,Freshwater
Fishes,Cyprinidae,Hypophthalmichthys molitrix x nobilis,,hybrid silver/bighead carp,Exotic Hybrid,Freshwater
Fishes,Cyprinidae,Hypophthalmichthys nobilis,,Bighead Carp,Exotic,Freshwater
Fishes,Atherinopsidae,Labidesthes sicculus,,Brook Silverside,Native,Freshwater
Fishes,Lepisosteidae,Lepisosteus oculatus,,Spotted Gar,Native,Freshwater
Fishes,Centrarchidae,Lepomis auritus,,Redbreast Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis gibbosus,,Pumpkinseed,Native,Freshwater
Fishes,Centrarchidae,Lepomis gulosus,,Warmouth,Native,Freshwater
Fishes,Centrarchidae,Lepomis humilis,,Orangespotted Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis marginatus,,Dollar Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis megalotis,,Longear Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis microlophus,,Redear Sunfish,Native,Freshwater
Fishes,Cyprinidae,Leuciscus idus,,Ide,Exotic,Freshwater
Fishes,Atherinopsidae,Menidia beryllina,,Inland Silverside,Native,Freshwater-Marine
Fishes,Centrarchidae,Micropterus dolomieu,,Smallmouth Bass,Native,Freshwater
Fishes,Centrarchidae,Micropterus punctulatus,,Spotted Bass,Native,Freshwater
Fishes,Moronidae,Morone americana,,White Perch,Native,Freshwater
Fishes,Moronidae,Morone americana x M. saxatilis,,white perch x striped bass,Native Hybrid,Freshwater
Fishes,Moronidae,Morone chrysops,,White Bass,Native,Freshwater-Marine
Fishes,Moronidae,Morone chrysops x M. saxatilis,,wiper,Native Hybrid,Freshwater-Marine
Fishes,Moronidae,Morone mississippiensis,,Yellow Bass,Native,Freshwater
Fishes,Moronidae,Morone saxatilis,,Striped Bass,Native,Freshwater-Marine
Fishes,Cyprinidae,Mylopharyngodon piceus,,Black Carp,Exotic,Freshwater
Fishes,Cyprinidae,Mylopharyngodon piceus,diploid,Black Carp (diploid),Exotic,Freshwater
Fishes,Cyprinidae,Mylopharyngodon piceus,triploid,Black Carp (triploid),Exotic,Freshwater
Fishes,Cyprinidae,Notropis boops,,Bigeye Shiner,Native,Freshwater
Fishes,Cyprinidae,Notropis buccatus,,Silverjaw Minnow,Native,Freshwater
Fishes,Salmonidae,Oncorhynchus mykiss,,Rainbow Trout,Native,Freshwater-Marine
Fishes,Salmonidae,Oncorhynchus nerka,,Sockeye Salmon,Native,Freshwater-Marine
Fishes,Osmeridae,Osmerus mordax,,Rainbow Smelt,Native,Freshwater-Marine
Fishes,Percidae,Perca flavescens,,Yellow Perch,Native,Freshwater
Fishes,Pimelodidae,Phractocephalus hemiliopterus x Pseudoplatystoma sp.,,Pimelodid hybrid catfish,Exotic Hybrid,Freshwater
Fishes,Pimelodidae,Phractocephalus hemioliopterus,,redtail catfish,Exotic,Freshwater
Fishes,Characidae,Piaractus brachypomus,,pirapatinga, red-bellied pacu,Exotic,Freshwater
Fishes,Cyprinidae,Pimephales promelas,,Fathead Minnow,Native,Freshwater
Fishes,Cyprinidae,Pimephales vigilax,,Bullhead Minnow,Native,Freshwater
Fishes,Poeciliidae,Poecilia reticulata,,Guppy,Exotic,Freshwater
Fishes,Centrarchidae,Pomoxis nigromaculatus,,Black Crappie,Native,Freshwater
Fishes,Gasterosteidae,Pungitius pungitius,,Ninespine Stickleback,Native,Freshwater
Fishes,Characidae,Pygocentrus or Serrasalmus sp.,,unidentified piranha,Exotic,Freshwater
Fishes,Ictaluridae,Pylodictis olivaris,,Flathead Catfish,Native,Freshwater
Fishes,Salmonidae,Salmo salar sebago,,Atlantic Salmon,Native,Freshwater-Marine
Fishes,Salmonidae,Salmo trutta,,Brown Trout,Exotic,Freshwater
Fishes,Salmonidae,Salvelinus fontinalis,,Brook Trout,Native,Freshwater
Fishes,Percidae,Sander canadensis,,Sauger,Native,Freshwater
Fishes,Percidae,Sander vitreus,,Walleye,Native,Freshwater
Fishes,Cyprinidae,Scardinius erythrophthalmus,,Rudd,Exotic,Freshwater
Fishes,Salmonidae,Thymallus arcticus,,Arctic Grayling,Native,Freshwater
Fishes,Cyprinidae,Tinca tinca,,Tench,Exotic,Freshwater
