Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish
Fishes,Clupeidae,Alosa sapidissima,,American Shad,Native,Freshwater-Marine
Fishes,Goodeidae,Ameca splendens,,Butterfly Splitfin,Exotic,Freshwater
Fishes,Ictaluridae,Ameiurus catus,,White Catfish,Native,Freshwater
Fishes,Ictaluridae,Ameiurus melas,,Black Bullhead,Native,Freshwater
Fishes,Ictaluridae,Ameiurus natalis,,Yellow Bullhead,Native,Freshwater
Fishes,Ictaluridae,Ameiurus nebulosus,,Brown Bullhead,Native,Freshwater
Fishes,Anguillidae,Anguilla rostrata,,American Eel,Native,Freshwater-Marine
Fishes,Anguillidae,Anguilla sp.,,unidentified eel,Exotic,Freshwater-Marine
Fishes,Cichlidae,Archocentrus nigrofasciatus,,Convict Cichlid,Exotic,Freshwater
Fishes,Centrarchidae,Archoplites interruptus,,Sacramento Perch,Native,Freshwater
Fishes,Cyprinidae,Carassius auratus,,Goldfish,Exotic,Freshwater
Fishes,Cyprinidae,Carassius auratus x Cyprinus carpio,,goldfish x common carp,Exotic Hybrid,Freshwater
Fishes,Catostomidae,Catostomus platyrhynchus,,Mountain Sucker,Native,Freshwater
Fishes,Cichlidae,Cichlasoma trimaculatum,,Threespot Cichlid,Exotic,Freshwater
Fishes,Clariidae,Clarias batrachus,,Walking Catfish,Exotic,Freshwater
Fishes,Characidae,Colossoma or Piaractus sp.,,unidentified pacu,Exotic,Freshwater
Fishes,Salmonidae,Coregonus clupeaformis,,Lake Whitefish,Native,Freshwater
Fishes,Goodeidae,Crenichthys baileyi grandis,,Hiko White River springfish,Native,Freshwater
Fishes,Goodeidae,Crenichthys nevadae,,Railroad Valley Springfish,Native,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,,Grass Carp,Exotic,Freshwater
Fishes,Cyprinidae,Cyprinella lutrensis,,Red Shiner,Native,Freshwater
Fishes,Cyprinidae,Cyprinella venusta,,Blacktail Shiner,Native,Freshwater
Fishes,Cyprinodontidae,Cyprinodon diabolis,,Devils Hole Pupfish,Native,Freshwater
Fishes,Cyprinodontidae,Cyprinodon nevadensis,,Amargosa Pupfish,Native,Freshwater
Fishes,Cyprinodontidae,Cyprinodon nevadensis amargosae,,Amargosa pupfish,Native,Freshwater
Fishes,Cyprinidae,Cyprinus carpio,,Common Carp,Exotic,Freshwater
Fishes,Cyprinidae,Devario malabaricus,,Malabar danio,Exotic,Freshwater
Fishes,Clupeidae,Dorosoma cepedianum,,Gizzard Shad,Native,Freshwater-Marine
Fishes,Clupeidae,Dorosoma petenense,,Threadfin Shad,Native,Freshwater-Marine
Fishes,Goodeidae,Empetrichthys latos,,Pahrump Poolfish,Native,Freshwater
Fishes,Goodeidae,Empetrichthys latos latos,,Pahrump Poolfish,Native,Freshwater
Fishes,Cyprinidae,Eremichthys acros,,Desert Dace,Native,Freshwater
Fishes,Esocidae,Esox lucius,,Northern Pike,Native,Freshwater
Fishes,Fundulidae,Fundulus zebrinus,,Plains Killifish,Native,Freshwater
Fishes,Poeciliidae,Gambusia affinis,,Western Mosquitofish,Native,Freshwater
Fishes,Cyprinidae,Gila atraria,,Utah Chub,Native,Freshwater
Fishes,Cyprinidae,Gila seminuda,,Virgin Chub,Native,Freshwater
Fishes,Cichlidae,Herichthys cyanoguttatus,,Rio Grande Cichlid,Native,Freshwater
Fishes,Cichlidae,Heros severus,,Banded Cichlid,Exotic,Freshwater
Fishes,Cyprinidae,Hypophthalmichthys molitrix,,Silver Carp,Exotic,Freshwater
Fishes,Loricariidae,Hypostomus sp.,,suckermouth catfish,Exotic,Freshwater
Fishes,Ictaluridae,Ictalurus punctatus,,Channel Catfish,Native,Freshwater
Fishes,Cyprinidae,Lepidomeda albivallis,,White River Spinedace,Native,Freshwater
Fishes,Cyprinidae,Lepidomeda mollispinis mollispinis,,Virgin Spinedace,Native,Freshwater
Fishes,Cyprinidae,Lepidomeda mollispinis pratensis,,Big Spring spinedace,Native,Freshwater
Fishes,Centrarchidae,Lepomis cyanellus,,Green Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis gibbosus,,Pumpkinseed,Native,Freshwater
Fishes,Centrarchidae,Lepomis gulosus,,Warmouth,Native,Freshwater
Fishes,Centrarchidae,Lepomis macrochirus,,Bluegill,Native,Freshwater
Fishes,Centrarchidae,Lepomis microlophus,,Redear Sunfish,Native,Freshwater
Fishes,Fundulidae,Lucania parva,,Rainwater Killifish,Native,Freshwater
Fishes,Cichlidae,Melanochromis auratus,,golden mbuna,Exotic,Freshwater
Fishes,Cichlidae,Melanochromis johannii,,bluegray mbuna,Exotic,Freshwater
Fishes,Centrarchidae,Micropterus dolomieu,,Smallmouth Bass,Native,Freshwater
Fishes,Centrarchidae,Micropterus punctulatus,,Spotted Bass,Native,Freshwater
Fishes,Centrarchidae,Micropterus salmoides,,Largemouth Bass,Native,Freshwater
Fishes,Centrarchidae,Micropterus salmoides floridanus,,Florida largemouth bass,Native,Freshwater
Fishes,Centrarchidae,Micropterus sp.,,black bass,Native,Freshwater
Fishes,Cyprinidae,Moapa coriacea,,Moapa Dace,Native,Freshwater
Fishes,Moronidae,Morone chrysops,,White Bass,Native,Freshwater-Marine
Fishes,Moronidae,Morone chrysops x M. saxatilis,,wiper,Native Hybrid,Freshwater-Marine
Fishes,Moronidae,Morone saxatilis,,Striped Bass,Native,Freshwater-Marine
Fishes,Cyprinidae,Notemigonus crysoleucas,,Golden Shiner,Native,Freshwater
Fishes,Salmonidae,Oncorhynchus aguabonita,,Golden Trout,Native,Freshwater
