Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish
Fishes,Clupeidae,Alosa chrysochloris,,Skipjack Herring,Native,Freshwater-Marine
Fishes,Clupeidae,Alosa pseudoharengus,,Alewife,Native,Freshwater-Marine
Fishes,Clupeidae,Alosa sapidissima,,American Shad,Native,Freshwater-Marine
Fishes,Ictaluridae,Ameiurus catus,,White Catfish,Native,Freshwater
Fishes,Amiidae,Amia calva,,Bowfin,Native,Freshwater
Fishes,Anguillidae,Anguilla rostrata,,American Eel,Native,Freshwater-Marine
Fishes,Cichlidae,Astronotus ocellatus,,Oscar,Exotic,Freshwater
Fishes,Characidae,Astyanax mexicanus,,Mexican Tetra,Native,Freshwater
Fishes,Cyprinidae,Carassius auratus,,Goldfish,Exotic,Freshwater
Fishes,Cyprinidae,Carassius auratus x Cyprinus carpio,,goldfish x common carp,Exotic Hybrid,Freshwater
Fishes,Catostomidae,Carpiodes carpio,,River Carpsucker,Native,Freshwater
Fishes,Cyprinidae,Chrosomus eos,,Northern Redbelly Dace,Native,Freshwater
Fishes,Characidae,Colossoma or Piaractus sp.,,unidentified pacu,Exotic,Freshwater
Fishes,Cyprinidae,Couesius plumbeus,,Lake Chub,Native,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,,Grass Carp,Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,diploid,Grass Carp (diploid),Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,triploid,Grass Carp (triploid),Exotic,Freshwater
Fishes,Cyprinidae,Cyprinus carpio,,Common Carp,Exotic,Freshwater
Fishes,Clupeidae,Dorosoma petenense,,Threadfin Shad,Native,Freshwater-Marine
Fishes,Esocidae,Esox lucius,,Northern Pike,Native,Freshwater
Fishes,Esocidae,Esox masquinongy,,Muskellunge,Native,Freshwater
Fishes,Esocidae,Esox niger,,Chain Pickerel,Native,Freshwater
Fishes,Fundulidae,Fundulus catenatus,,Northern Studfish,Native,Freshwater
Fishes,Fundulidae,Fundulus diaphanus,,Banded Killifish,Native,Freshwater
Fishes,Fundulidae,Fundulus diaphanus diaphanus,,eastern banded killifish,Native,Freshwater
Fishes,Fundulidae,Fundulus notatus,,Blackstripe Topminnow,Native,Freshwater
Fishes,Poeciliidae,Gambusia affinis,,Western Mosquitofish,Native,Freshwater
Fishes,Poeciliidae,Gambusia holbrooki,,Eastern Mosquitofish,Native,Freshwater
Fishes,Gasterosteidae,Gasterosteus aculeatus,,Threespine Stickleback,Native,Marine
Fishes,Cichlidae,Herichthys cyanoguttatus,,Rio Grande Cichlid,Native,Freshwater
Fishes,Cyprinidae,Hybognathus hankinsoni,,Brassy Minnow,Native,Freshwater
