Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish
Fishes,Centrarchidae,Ambloplites rupestris,,Rock Bass,Native,Freshwater
Fishes,Ictaluridae,Ameiurus melas,,Black Bullhead,Native,Freshwater
Fishes,Centrarchidae,Archoplites interruptus,,Sacramento Perch,Native,Freshwater
Fishes,Cyprinidae,Carassius auratus,,Goldfish,Exotic,Freshwater
Fishes,Catostomidae,Carpiodes carpio,,River Carpsucker,Native,Freshwater
Fishes,Characidae,Colossoma or Piaractus sp.,,unidentified pacu,Exotic,Freshwater
Fishes,Salmonidae,Coregonus artedi,,Cisco,Native,Freshwater
Fishes,Salmonidae,Coregonus clupeaformis,,Lake Whitefish,Native,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,,Grass Carp,Exotic,Freshwater
Fishes,Gasterosteidae,Culaea inconstans,,Brook Stickleback,Native,Freshwater
Fishes,Cyprinidae,Cyprinella spiloptera,,Spotfin Shiner,Native,Freshwater
Fishes,Cyprinidae,Cyprinus carpio,,Common Carp,Exotic,Freshwater
Fishes,Clupeidae,Dorosoma cepedianum,,Gizzard Shad,Native,Freshwater-Marine
Fishes,Esocidae,Esox lucius,,Northern Pike,Native,Freshwater
Fishes,Esocidae,Esox lucius x E. masquinongy,,tiger muskellunge,Native Hybrid,Freshwater
Fishes,Esocidae,Esox masquinongy,,Muskellunge,Native,Freshwater
Fishes,Fundulidae,Fundulus diaphanus,,Banded Killifish,Native,Freshwater
Fishes,Fundulidae,Fundulus sciadicus,,Plains Topminnow,Native,Freshwater
Fishes,Fundulidae,Fundulus zebrinus,,Plains Killifish,Native,Freshwater
Fishes,Hiodontidae,Hiodon alosoides,,Goldeye,Native,Freshwater
Fishes,Hiodontidae,Hiodon tergisus,,Mooneye,Native,Freshwater
Fishes,Cyprinidae,Hypophthalmichthys molitrix,,Silver Carp,Exotic,Freshwater
Fishes,Cyprinidae,Hypophthalmichthys nobilis,,Bighead Carp,Exotic,Freshwater
Fishes,Ictaluridae,Ictalurus furcatus,,Blue Catfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis auritus,,Redbreast Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis cyanellus,,Green Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis gibbosus,,Pumpkinseed,Native,Freshwater
Fishes,Centrarchidae,Lepomis humilis,,Orangespotted Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis macrochirus,,Bluegill,Native,Freshwater
Fishes,Centrarchidae,Lepomis megalotis,,Longear Sunfish,Native,Freshwater
Fishes,Centrarchidae,Micropterus dolomieu,,Smallmouth Bass,Native,Freshwater
Fishes,Centrarchidae,Micropterus salmoides,,Largemouth Bass,Native,Freshwater
Fishes,Moronidae,Morone chrysops,,White Bass,Native,Freshwater-Marine
